Applaud.	Pumalakpak.
Teach me.	Turuan mo ako.
Toss me!	Ihagis ninyo ako!
We are right.	Tama kami.
We are wrong.	Mali kami.
What now?	Ano na ngayon?
Which rice field?	Aling palayan?
Who are you?	Sino ka?
You are crazy.	Baliw ka.
You are early.	Maaga ka.
You are ugly.	Pangit ka.
Hurry up already.	Bilisan mo na.
I am done.	Tapos na ako.
I am tired.	Pagod na ako.
I am yours.	Ako ay sayo.
I doubt it.	Duda ko ito.
I have one.	Mayroon akong isa.
I knew it.	Alam ko iyon.
I like it.	Gusto ko ito.
I'm on a diet.	Diyeta ako.
Is it over?	Tapos na ba?
On April 4.	Sa Abril 4.
On March 3.	Sa Marso 3.
Please wait a moment.	Sandali lang.
She is graceful.	Siya ay matikas.
What is new?	Ano ang bago?
Which rice fields?	Aling mga palayan?
You also can.	Kaya mo rin.
You are a traitor!	Traydor ka!
You're not here.	Wala ka dito.
Can I do it?	Magagawa ko ba?
Coffee and raw rice?	Kape at bigas?
Cooking is relaxing.	Ang pagluluto ay nakakarelaks.
First, do positive.	Una, gumawa ng positibo.
Good day, gentlemen.	Magandang umaga, mga ginoo.
How was the drive?	Kamusta ang pagmaneho?
I am alone.	Ako ay mag isa.
I am not amused.	Hindi ako natutuwa.
I will refuse him.	Tatanggihan ko siya.
If cooked rice, yes.	Kapag kanin, sige.
Lastly, look positive.	Panghuli, tumanaw ng positibo.
Second, think positive.	Pangalawa, mag-isip ng positibo.
What is raw rice?	Ano ang bigas?
And they overcame him.	At siya'y kanilang dinaig.
Choose the raw rice!	Piliin mo yung bigas!
He likes to have sex.	Mahilig siyang makipagtalik.
I woke up very early.	Napaka-aga kong nagising.
Raw rice is life.	Ang bigas ay buhay.
Scroll left, she says.	Mag-iskrol pakaliwa, sabi niya.
steamed rice is life.	Ang kanin ay buhay.
steamed rice makes you fat.	Nakakataba ang kanin.
The cooked rice is watery.	Malata ang kanin.
The rice fields are vast.	Malawak ang palayan.
We are really late.	Huling-huli na talaga tayo.
We'll talk more later.	Mag-uusap pa tayo mamaya.
What about the steamed rice?	Paano ang kanin?
What is a rice field?	Ano ang palayan?
Cook fried rice.	Magluto ka ng sinangag na kanin.
Don't understimate steamed rice.	Wag mong maliitin ang kanin.
How do I refuse him?	Paano ko siya tatanggihan?
I am out of time.	Wala na akong oras.
I haven't finished it yet.	Hindi ko pa tapos.
I love them too much!	Sobra ko silang mahal!
I need to take a nap.	Kailangan kong umidlip.
Is the cooked rice watery?	Malata ba ang kanin?
Is the rice cooked?	Luto na ba ang kanin?
It's entirely up to you.	Nasa iyo na iyon.
Just a bit of raw rice.	Kaunting bigas lang.
Let us eat a snack.	Kumain tayo ng merienda.
Maybe you like him.	Mahal mo ata siya eh.
Now we beseech you.	Ngayon aming ipinamamanhik sa inyo.
The steamed rice wil get cold.	Lalamig ang kanin.
They applauded the raw rice.	Pinalakpakan nila ang bigas.
And it was granted to him.	At ipinagkaloob sa kanya.
Bless my raw rice!	Basbasan mo po ang aking bigas!
Bless my steamed rice!	Basbasan mo po ang aking kanin!
But do I love him?	Pero mahal ko ba siya?
But I love avocados.	Ngunit mahal ko ang mga avocado.
Do you sell steamed rice?	Nagbebenta ba kayo ng kanin?
Don't wait up for me.	Huwag mo na akong hintayin.
Everybody wants to kill me.	Lahat ay gustong patayin ako.
Fry the left over rice.	Isangag mo yung tirang kanin.
Give me some raw rice.	Bigyan mo ako ng bigas.
He is afraid of cooked rice.	Takot siya sa kanin.
He is afraid of raw rice.	Takot siya sa bigas.
He is afraid of rice plant.	Takot siya sa palay.
He only has one foot.	Meron lang siyang iisang paa.
He used sticky rice.	Gumamit siya ng malagkit na kanin.
I already wet the rice.	Binasa ko na ang bigas.
I am prohibited from steamed rice.	Bawal ako ng kanin.
I'll do it after dinner.	Gagawin ko pagkatapos ng hapunan.
In the fields of rice plants.	Nasa taniman ng palay.
Is the rice almost cooked?	Inin na ba yung kanin?
My hair is white already.	Puti na ang buhok ko.
Prosperity didn't happen here.	Ang kasaganahan ay hindi nangyari dito.
The rice is almost cooked.	Inin na po yung kanin.
They do not eat rice.	Hindi sila kumakain ng kanin.
This is typical American hubris.	Ito ay karaniwang Amerikanong dangal.
Tom didn't want to be late.	Ayaw ni Tom mahuli.
Why is the cooked rice bloody?	Bakit madugo ang kanin?
Why is this steamed rice black?	Bakit itim itong kanin?
And it was granted unto him.	At ipinagkaloob ito sa kaniya.
Are you going to cook rice?	Magluluto ka ba ng kanin?
Cooked rice saved his life.	Niligtas ng kanin ang kanyang buhay.
Count grains of raw rice.	Magbilang ka ng butil ng bigas.
Do you know how to cook rice?	Marunong ka ba magsaing?
Don't wet our raw rice!	Huwag mong basain iyang bigas natin!
How should one choose raw rice?	Paano ba pumili ng bigas?
I cannot find my book.	Hindi ko mahanap ang aking aklat.
I don't need your money.	Di ko kailangan ang pera mo.
It is really too hot in here.	Masyado talagang mainit dito.
John Galt likes steamed rice.	Mahilig si John Galt sa kanin.
Maybe the rice is almost cooked?	Baka inin na yung kanin?
Nevertheless, I will not forget him.	Gayunpaman, hindi ko siya malilimutan.
No, Americans are very tall.	Hindi, ang mga Amerikano ay napakatangkad.
Oh, I've just come from there.	Oh, kakagaling ko lang roon.
Only burned rice has been left.	Tutong na lang ang natira.
Raw rice saved his life.	Niligtas ng bigas ang kanyang buhay.
Rice plant saved his life.	Niligtas ng palay ang kanyang buhay.
The rice fields got burned last night.	Nasunog ang palayan kagabi.
This is my second cooked rice.	Pangalawang kanin ko na ito.
Yes, i know how to cook rice.	Oo, marunong ako magsaing.
Do you like wet steamed rice?	Gusto mo ba ng basang kanin?
Go with steamed rice instead, not science.	Kanin na lang, wag siyensya.
Her husbands healthdiabetes and fibromyalgia.	Ang kalusugan ng kanyang asawa--diyabetis at fibromyalgia.
Hope is a waking dream.	Ang pagasa ay isang gumigising na panaginip.
I am good at cooking steamed rice.	Magaling ako magluto ng kanin.
I have to buy some raw rice!	Kailangan kong bumili ng bigas!
Let's eat cooked rice and viand.	Kain tayo ng kanin at ulam.
One day, I want to do you.	Isang araw, gusto kitang gawin.
Proteobacteria also called Photosynthetic Bacteria.	Ang Proteobacteria na tinatawag ding Photosynthetic Bacteria.
Russia is not like us.	Ang Russia ay hindi tulad sa atin.
She is strong in eating cooked rice.	Malakas siya kumain ng kanin.
Shostakovich, Chekhov, Yeltsin, Kruschevthey lie here.	Shostakovich, Chekhov, Yeltsin, Kruschev-nakahiga sila dito.
The raw rice makes me happy.	Ang bigas ay nakakapagpasaya sa akin.
This man is so wonderful!	Ang lalaking ito ay tunay na kahanga-hanga!
Up-to-date communication equipment is important.	Ang bagong kagamitan sa komunikasyon ay importante.
Watery is the cooked rice I like.	Malata ang gusto kong kanin.
We have a complimentary continental breakfast.	Mayroon kaming komplimentaryong kontinental na agahan.
You speak a bit too fast for me.	Masyado kayong mabilis magsalita.
After this I looked.	Pagkatapos ng mga bagay na ito ay tumingin ako.
And promoting this global government system.	At nagtataguyod nitong pandaigdigang sistema ng gobyerno.
But I would not have.	Ngunit hindi namin ibig na kayoy di makaalam.
Confirming the souls of the disciples.	Pinapatibay ang mga kaluluwa ng mga alagad.
Control your intake of cooked race.	Kontrolin mo ang pagkain mo ng kanin.
Cook two cups of raw rice.	Magsaing ka ng dalawang takal ng bigas.
Do you like the burned rice?	Mahilig ka ba sa tutong na kanin?
Fire is a symbol of unrest.	Ang apoy ay isang simbolo ng pagkabagabag.
Followed by the bloody Philippine-American War.	Na sinundan naman ng madugong Digmaang Pilipino-Amerikano.
Half a cup of steamed rice only.	Kalahating tasa ng kanin lang po.
He is currently experiencing writer's block.	Kasalukuyan siyang nakakaranas ng kawalan ng maisusulat.
He talked about unpaid caregivers.	Nagsalita siya tungkol sa mga hindi binabayarang tagapangalaga.
Hello, may I speak with Mary?	Hello, pwede ko bang makausap si Mary?
How many sacks of raw rice left?	Ilang sako ng bigas na lang?
I just heard a branch break!	Kakarinig ko lang ng pagbali ng sanga!
I will eat if there is steamed rice.	Kakain ako kung may kanin.
I will give you cold left over rice.	Bibigyan kita ng kaning lamig.
If only they fixed their jobs.	Kung sana inayos nila ang kanilang trabaho.
Learn through experience and self-reflection.	Matuto ka sa pamamagitan ng karanasan at pagmumuni-muni.
Our meeting afforded interesting information.	Nagbigay ang aming pulong ng mga interesanteng impormasyon.
References External links Understanding Evolution.	Mga sanggunian Mga kawing na panlabas Understanding Evolution.
Some roles require qualifications.	Ang ilang mga tungkulin ay nangangailangan ng mga kwalipikasyon.
Strive for proggress, not perfection.	Magsumikap para sa pag-unlad, hindi sa pagiging perpekto.
Surround yourself with determined peers.	Paligiran ang iyong sarili ng mga determinadong kasamahan.
The briefcase contains classified documents.	Ang portpolyo ay naglalaman ng mga maselang dokumento.
The centipede's bestfriend is helping.	Ang pinaka-matalik na kaibigan ng alupihan ay tumutulong.
The Chinese also like steamed rice.	Gusto din ng mga Intsik ng kanin.
The collaboration was a pretty phenomenal experience.	Ang kolaborasyon ay isang kahanga-hangang karanasan.
The crickets despise linguistic diversity.	Kinamumuhian ng mga kuliglig ang pagkakaiba sa linguista.
The dragonfly's bestfriend is helping.	Ang pinaka-matalik na kaibigan ng tutubi ay tumutulong.
The lovers exchanged numerous letters.	Nagpalitan ang magkasintahan ng maraming liham sa isa't-isa.
Their beautiful coastline draws tourists.	Humahatak naman sa turista ang kanilang napakagandang baybayin.
They cover the smallest cellular organisms.	Sinasaklaw nila ang pinakamaliliit na organismong selular.
This extension is called "eco-evo-devo".	Ang pagpapalawig na ito ay tinawag na "eco-evo-devo".
Up being taught the pre-tribulation rapture.	Tinuturuan tungkol sa destruksyon bago ang kapighatian.
We appreciate your sincerity and humility.	Pinahahalagahan namin ang iyong katapatan at kapakumbabaan.
What I need is your time.	Ang kailangan ko ay ang oras mo.
An inspirational figure through Elena's girlhood.	Isang inspirasyonal na tao sa kabataan ni Elena.
Asthma attacks are potentially life-threatening.	Ang pag-atake ng hika ay maaaring mapanganib sa buhay.
Brachypods are often used as vials.	Ang mga brakyopoda'y kadalasang napagkakamalian bilang mga halaan.
Chris specializes in documentary style film.	Dalubhasa si Chris sa mala-dokumentaryong estilo ng pelikula.
Desperation is the most irrational of motivators.	Desperasyon ay ang pinaka-hindi makatwiran na pantulak.
Don't eat steamed rice for dinner.	Huwag kang kumain ng kanin para sa hapunan.
Don't neglect your daily responsibilities.	Wag 'mong pabayaan ang iyong pang araw-araw na responsibilidad.
Dont worry, the dogs can come!	Huwag kang mag-alala, maaaring sumama ang mga aso!
Elena and I are both Baby Boomers.	Kami ni Elena ay parehong Baby Boomers.
Ferdinand Magellan is a Portuguese explorer.	Si Ferdinand Magellan ay isang Portuges na manggagalugad.
Honored guest, the honorable minister of education.	Panauhing pandangal, kagalang-galang na ministro ng edukasyon.
How many cups of rice would you like?	Ilang tasang kanin ang gusto mo?
I don't care where we eat dinner.	Wala akong pakialam kung saan tayo maghahapunan.
I don't feel like filling out this questionnaire.	Parang ayaw ko sagutan itong questionnaire.
I glanced over at Elena just now.	Ako ay tumingin kay Elena ngayon lang.
I had some interesting experiences while traveling.	May mga kawili-wili akong karanasan habang naglalakbay.
I really appreciated your help yesterday afternoon.	Pinapahalagahan ko talaga ang tulong mo kahapon.
I was not really going to wait for you.	Hindi naman talaga kita hihintayin.
I'm afraid you have to work overtime.	Ikinalulungkot kong sabihin pero kailangan mong mag-overtime.
Jesus is coming from the clouds.	Si Hesus ay dumarating mula sa mga ulap.
Keep cheering for your favorite artists!	Panatilihin ang pagsuporta sa inyong mga paboritong artista!
Many students comitted suicide because of depression.	Maraming estudyante ang nagpapakamatay dahil sa pagod.
Mostly though, we just sat together, waiting.	Gayunman, halos nakaupo na lang kami, naghihintay.
Muffled sounds reverberated through the hallway.	Ang mga tunog tumalbog-talbog sa pamamagitan ng pasilyo.
Not all interactions need words!	Hindi lahat ng pakikipag-ugnayan ay nangangailangan ng mga salita!
Our meeting afforded interesting information.	Ang aming pulong ay nagbigay ng mga interesanteng impormasyon.
Pastor Anderson: All the same elements!	Pastor Anderson: Lahat ng magkakatulad na mga elemento!
Poor health prohibited him from traveling.	Pinagbabawal siya maglakbay dahil sa mahirap niyang kalusugan.
Recruitment should be based on ability alone.	Dapat nakabatay ang pangangalap sa kakayahan lamang.
Refrigerators help to preserve food.	Ang mga pridyeder ay nakakatulong upang patagalin ang pagkain.
She had a conversation with her landlord recently.	Nakikipag-usap siya sa kanyang kasero kamakailan.
She has encyclopedic knowledge and stellar memory.	Mayroon siyang kaalamang ensiklopediko at kahanga-hangang memorya.
Someone paid already for your raw rice.	May nagbayad na para sa iyong bigas.
Starting today, we will be cleaning the quadrangle.	Mula ngayon, maglilinis tayo ng quadrangle.
Starting today, we will be cleaning the quadrangle.	Simula ngayon, maglilinis tayo ng quadrangle.
Study to be accomplished, not affluent.	Mag-aral upang may matutunan, hindi basta nakapag-aral lang.
That is the biggest university in the Philippines.	Iyan ang pinakamalaking unibersidad sa Pilipinas.
The ability to suffer through hard times.	Ang kakayahang magdusa sa mahihirap na panahon.
The baby centipede electrocutes the other centipedes.	Kinuryente ng batang luslos ang ibang luslos.
The crickets gathered flowers together.	Naghalungkat ng sama-sama ang mga kuliglig ng mga bulaklak.
The department store was crammed with holiday shoppers.	Punung-puno ang tindahan ng mga bakasyonista.
The elephants dominate the basketball field.	Namamayagpag ang mga elepante sa industriya ng basketbol.
The fireflies decide to journey together.	Nadgdesisyon ang mga alitaptap na maglakbay ng sama-sama.
The firefly makes friends with another firefly.	Nakipagkaibigan ang alitaptap sa isa pang alitaptap.
The literature of Pushkin, Tolstoy, and Dostoyevsky.	Ang literatura nina Pushkin, Tolstoy, at Dostoyevsky.
The mosquitoes often understand productive work.	Kadalasang naiintindihan ng mga lamok ang produktibong trabaho.
The national stadium needs major repairs.	Kailangan ng pambansang istadyum ang mga malakihang pagkukumpuni.
The person speaking on stage wasn't interesting.	Hindi kawili-wili yung taong nagsasalita sa entablado.
The Philippines is found in South-East Asia.	Ang Pilipinas ay matatagpuan sa Timog-Silangang Asya.
The place looks reassuringly familiar.	Ang lugar na ito ay mukhang katiyak-tiyak na pamilyar.
The population explosion is a serious problem.	Seryosong problema ang biglaang pagtaas ng populasyon.
The university currently has two vacancies.	Sa kasalukuyan, ang unibersidad ay may dalawang bakante.
Then I heard him say Hello.	Pagkatapos ay narinig ko na sinasabi niyang Hello.
Then slowly, over time, things changed.	Makalipas ang panahon dahan-dahang nagbago ang mga bagay.
This committee includes scientists and engineers.	May kasamang mga dalub-agham at inhenyero itong komiti.
Travelling requires a great amount of time.	Ang paglalakbay ay nangangailangan ng napakaraming oras.
Tribulation or persecution that arises because.	Kapighatian o pag-uusig na pumailanglang dahil sa salita.
Undisciplined actions are not permitted.	Ang mga aksyong walang disiplina ay hindi hindi pinahihintulutan.
Unfortunately, your father did not survive.	Sa kasamaang palad, hindi nakaligtas ang iyong ama.
We are going to be late for the party!	Mahuhuli na tayo sa pagsasalo!
We celebrated our tenth wedding anniversary yesterday.	Ipininagdiwang namin ang aming ika-sampung anibersaryo kahapon.
While washing the dishes, the plate shattered.	Habang naghuhugas ng pinggan, nabasag yung plato.
Who's your favorite science fiction writer?	Sino ang paborito mong manunulat ng siyensiyang piksiyon?
You know that I like cooked rice.	Alam mo namang gusto ko ng kanin.
Your expectations will just lead to disappointment.	Your expectations will just lead to disappointment.
A corporate man should always dress presentably.	Ang negosyante ay dapat laging nananamit nang kaakit-akit.
A French couple who didnt speak English.	Isang mag-asawang Pranses na hindi nagsasalita ng Ingles.
A great fire occurs in Eindhoven, Netherlands.	Isang napakalaking apoy ang nangyari sa Eindhoven, Netherlands.
A lot of students saw our presentation.	Maraming mga estudyante ang nakakita sa aming presentasyon.
A weak currency is beneficial to exporters.	Ang mahinang pera ay kapaki-pakinabang sa mga tagaluwas.
And the stars of heaven shall fall.	At mangalalaglag ang mga bituin mula sa langit.
As many as twenty students were absent.	Mahigit kumulang na dalawampung estudyante ang hindi pumasok.
At nightfall, porthole covers were sealed.	Sa takipsilim, ang mga takip ng porthole ay tinakpan.
Based on your unique biological characteristics.	Base sa walang katulad na byolohikong mga katangian ninyo.
Beryl's sells different kinds of chocolate.	Iba't ibang klase ng tsokolate ang binebenta sa Beryl's.
But God commendeth his love toward.	Datapuwat ipinagtatagubilin ng Dios ang kaniyang pagibig sa atin.
Children playing with a ragged football.	Ang mga bata na naglalaro sa isang sira-sirang football.
Decrease the flame when it is almost cooked.	Hinaan mo ang apoy pag inin na.
Difficult roads lead to meaningful destination.	Ang mahihirap na daan ay humahantong sa makabuluhang patutunguhan.
England resembles Japan in many respects.	Ang Inglatera ay katulad ng Hapon sa maraming kadahilanan.
Every 90 minutes, a student attempts suicide.	Bawat 90 minutos, nagtatangka ang isang estudyante magpakamatay.
Everybody in the industry knows her persistence.	Alam ng lahat sa industriya ang kanyang pagtitiyaga.
Excellence is something worth striving for.	Ang kahusayan ay isang bagay na karapat-dapat na pagsisikapan.
Festival will only last until December 11.	Hanggang sa ika-labing-isa nalang ng Disyembre ang piyesta.
Festival will only last until December 12.	Hanggang sa ika-labindalawa nalang ng Disyembre ang piyesta.
Festival will only last until December 13.	Hanggang sa ika-labintatlo nalang ng Disyembre ang piyesta.
Festival will only last until December 14.	Hanggang sa ika-labing-apat nalang ng Disyembre ang piyesta.
Festival will only last until December 15.	Hanggang sa ika-labinlima nalang ng Disyembre ang piyesta.
Festival will only last until December 16.	Hanggang sa ika-labing-anim nalang ng Disyembre ang piyesta.
Festival will only last until December 17.	Hanggang sa ika-labinpito nalang ng Disyembre ang piyesta.
Festival will only last until December 18.	Hanggang sa ika-labinwalo nalang ng Disyembre ang piyesta.
Festival will only last until December 19.	Hanggang sa ika-labingsiyam nalang ng Disyembre ang piyesta.
Festival will only last until December 20.	Hanggang sa ika-dalawampu nalang ng Disyembre ang piyesta.
Festival will only last until December 30.	Hanggang sa ika-tatlumpu nalang ng Disyembre ang piyesta.
Festival will only last until November 11.	Hanggang sa ika-labing-isa nalang ng Nobyembre ang piyesta.
Festival will only last until November 12.	Hanggang sa ika-labindalawa nalang ng Nobyembre ang piyesta.
Festival will only last until November 13.	Hanggang sa ika-labintatlo nalang ng Nobyembre ang piyesta.
Festival will only last until November 14.	Hanggang sa ika-labing-apat nalang ng Nobyembre ang piyesta.
Festival will only last until November 15.	Hanggang sa ika-labinlima nalang ng Nobyembre ang piyesta.
Festival will only last until November 16.	Hanggang sa ika-labing-anim nalang ng Nobyembre ang piyesta.
Festival will only last until November 17.	Hanggang sa ika-labinpito nalang ng Nobyembre ang piyesta.
Festival will only last until November 18.	Hanggang sa ika-labinwalo nalang ng Nobyembre ang piyesta.
Festival will only last until November 19.	Hanggang sa ika-labingsiyam nalang ng Nobyembre ang piyesta.
Festival will only last until November 20.	Hanggang sa ika-dalawampu nalang ng Nobyembre ang piyesta.
Festival will only last until November 30.	Hanggang sa ika-tatlumpu nalang ng Nobyembre ang piyesta.
Festival will only last until October 11.	Hanggang sa ika-labing-isa nalang ng Oktubre ang piyesta.
Festival will only last until October 12.	Hanggang sa ika-labindalawa nalang ng Oktubre ang piyesta.
Festival will only last until October 13.	Hanggang sa ika-labintatlo nalang ng Oktubre ang piyesta.
Festival will only last until October 14.	Hanggang sa ika-labing-apat nalang ng Oktubre ang piyesta.
Festival will only last until October 16.	Hanggang sa ika-labing-anim nalang ng Oktubre ang piyesta.
Festival will only last until October 19.	Hanggang sa ika-labingsiyam nalang ng Oktubre ang piyesta.
Festival will only last until September 10.	Hanggang sa ika-sampu nalang ng setyembre ang piyesta.
Festival will only last until September 11.	Hanggang sa ika-labing-isa nalang ng setyembre ang piyesta.
Festival will only last until September 12.	Hanggang sa ika-labindalawa nalang ng setyembre ang piyesta.
Festival will only last until September 13.	Hanggang sa ika-labintatlo nalang ng setyembre ang piyesta.
Festival will only last until September 14.	Hanggang sa ika-labing-apat nalang ng setyembre ang piyesta.
Festival will only last until September 15.	Hanggang sa ika-labinlima nalang ng setyembre ang piyesta.
Festival will only last until September 16.	Hanggang sa ika-labing-anim nalang ng setyembre ang piyesta.
Festival will only last until September 17.	Hanggang sa ika-labinpito nalang ng setyembre ang piyesta.
Festival will only last until September 18.	Hanggang sa ika-labinwalo nalang ng setyembre ang piyesta.
Festival will only last until September 19.	Hanggang sa ika-labingsiyam nalang ng setyembre ang piyesta.
Festival will only last until September 2.	Hanggang sa ika-dalawa nalang ng setyembre ang piyesta.
Festival will only last until September 20.	Hanggang sa ika-dalawampu nalang ng setyembre ang piyesta.
Festival will only last until September 30.	Hanggang sa ika-tatlumpu nalang ng setyembre ang piyesta.
Free internet at work is very useful.	Ang libreng internet sa trabaho ay lubhang kapaki-pakinabang.
Hangga't makitid ang kumot, matutong mamaluktot.	Since the blanket is short, learn how to bend.
Have you truly memorized the multiplication table?	Saulo mo na ba talaga ang multiplication table?
He challenged conventions at every stage.	Hinahamon nya ang mga nakaugalian sa lahat ng pagkakataon.
He continued arranging the answered sheets.	Itinuloy nya rin ang pag-aayos ng mga nasagutang papel.
He has gift of a book for me.	May regalo siyang libro para sa akin.
He needs to undergo operation on nose.	Kinakailangan niya sumailalim sa operasyon sa kanyang ilong.
He solved the difficult problem easily.	Nasagot niya ang mahirap na problema nang walang problema.
His dedication to his craft is astounding.	Ang kanyang dedikasyon sa kanyang trabaho ay kamangha-mangha.
His smartphone is charging in his office.	Ang kanyang smartphone ay naka-charge sa kanyang opisina.
His soldiers feared and respected him.	Ang kanyang mga sundalo ay kinakatakutan at nirerespeto siya.
His sudden appearance surprised us all.	Ang kanyang biglang pagpapakita ay surpresa sa aming lahat.
How long had you been playing the piano?	Gaano katagal ka nang tumutugtog ng piyano?
I appreciate your attention to detail.	Natutuwa ako sa iyong pagpapahalaga sa maliliit na detalye.
I can finish two cups of steamed rice.	Kaya kong umubos ng dalawang tasang kanin.
I don't exercise a lot these days.	Hindi ako masyadong nakakapag-ehersisyo nitong mga nakaraang araw.
I was expecting some great philosophical insight.	Umaasa ako ng mga ilang dakilang pilosopikong pananaw.
Impulse purchasing is your worst enemy.	Ang pagbili nang pabigla-bigla ay ang iyong pinakadelikadong kaaway.
It has been eighteen days since I have chopsticks.	Labing-walong araw nang akong merong chopsticks.
It has been forty-eight minutes since I have eleven.	Apatnapu't-walong minuto nang akong merong labing-isang.
It has been forty-one days since I have underwear.	Apatnapu't-isang araw nang akong merong karsolsilyo.
It has been forty-one hours since I have badminton.	Apatnapu't-isang oras nang akong merong badminton.
It has been forty-seven minutes since I have chopsticks.	Apatnapu't-pitong minuto nang akong merong chopsticks.
It has been forty-seven years since I have shoes.	Apatnapu't-pitong taon nang akong merong sapatos.
It has been forty-two minutes since I have television.	Apatnapu't-dalawang minuto nang akong merong telebisyon.
It has been seventeen months since I have eleven.	Labing-pitong buwan nang akong merong labing-isang.
It has been thirty-eight hours since I have shellfish.	Tatlumpu't-walong oras nang akong merong kabibe.
It has been thirty-eight years since I have shampoo.	Tatlumpu't-walong taon nang akong merong shampoo.
It has been thirty-seven hours since I have shellfish.	Tatlumpu't-pitong oras nang akong merong kabibe.
It has been thirty-three days since I have peanuts.	Tatlumpu't-tatlong araw nang akong merong mani.
It has been thirty-three days since I have salmon.	Tatlumpu't-tatlong araw nang akong merong salmon.
It has been thirty-three months since I have silver.	Tatlumpu't-tatlong buwan nang akong merong pilak.
It has been twenty-eight months since I have music.	Dalawampu't-walong buwan nang akong merong tugtog.
It has been twenty-five minutes since I have soccer.	Dalawampu't-limang minuto nang akong merong soccer.
It has been twenty-one minutes since I have silver.	Dalawampu't-isang minuto nang akong merong pilak.
It has been twenty-one years since I have trousers.	Dalawampu't-isang taon nang akong merong pantalon.
It has been twenty-three months since I have fish.	Dalawampu't-tatlong buwan nang akong merong isda.
It has been twenty-three months since I have shoes.	Dalawampu't-tatlong buwan nang akong merong sapatos.
It includes rankings and binomial nomenclature.	Ito ay kinabibilangan ng mga ranggo at nomenklaturang binomial.
