$3.5 million.	$3.5 milyon.
20th day of August.	Ika-20 na araw ng Agosto.
20th day of July.	Ika-20 na araw ng Hulyo.
20th day of June.	Ika-20 na araw ng Hunyo.
20th day of May.	Ika-20 na araw ng Mayo.
20th in line.	Pandalawampu sa pila.
21st day of August.	Ika-21 na araw ng Agosto.
21st day of July.	Ika-21 na araw ng Hulyo.
21st day of June.	Ika-21 na araw ng Hunyo.
21st day of May.	Ika-21 na araw ng Mayo.
21st in line.	Pandalawampu't isa sa pila.
22nd day of August.	Ika-22 na araw ng Agosto.
22nd day of July.	Ika-22 na araw ng Hulyo.
22nd day of June.	Ika-22 na araw ng Hunyo.
22nd day of May.	Ika-22 na araw ng Mayo.
22nd in line.	Pandalawampu't-dalawa sa pila.
23rd day of August.	Ika-23 na araw ng Agosto.
23rd day of July.	Ika-23 na araw ng Hulyo.
23rd day of June.	Ika-23 na araw ng Hunyo.
23rd day of May.	Ika-23 na araw ng Mayo.
23rd.	Pandalawampu't tatlo.
24 and elsewhere.	24 at kung saan.
24th day of August.	Ika-24 na araw ng Agosto.
24th day of July.	Ika-24 na araw ng Hulyo.
24th day of June.	Ika-24 na araw ng Hunyo.
24th day of May.	Ika-24 na araw ng Mayo.
24th.	Pandalawampu't apat.
25th day of August.	Ika-25 na araw ng Agosto.
25th day of July.	Ika-25 na araw ng Hulyo.
25th day of June.	Ika-25 na araw ng Hunyo.
25th day of May.	Ika-25 na araw ng Mayo.
25th.	Pandalawampu't lima.
26th day of August.	Ika-26 araw ng Agosto.
26th day of July.	Ika-26 araw ng Hulyo.
26th day of June.	Ika-26 araw ng Hunyo.
26th day of May.	Ika-26 araw ng Mayo.
26th.	Pang-dalawampu't anim.
27th day of August.	Ika-27 na araw ng Agosto.
27th day of July.	Ika-27 na araw ng Hulyo.
27th day of June.	Ika-27 na araw ng Hunyo.
27th day of May.	Ika-27 na araw ng Mayo.
27th.	Pandalawampu't pito.
28th day of August.	Ika-28 na araw ng Agosto.
28th day of July.	Ika-28 na araw ng Hulyo.
28th day of June.	Ika-28 na araw ng Hunyo.
28th day of May.	Ika-28 na araw ng Mayo.
28th.	Pandalawampu't walo.
29th day of August.	Ika-29 na araw ng Agosto.
29th day of July.	Ika-29 na araw ng Hulyo.
29th day of June.	Ika-29 na araw ng Hunyo.
29th day of May.	Ika-29 na araw ng Mayo.
29th.	Pandalawampu't siyam.
2nd day of August.	Ika-2 na araw ng Agosto.
2nd day of July.	Ika-2 araw ng Hulyo.
2nd day of June.	Ika-2 na araw ng Hunyo.
2nd day of May.	Ika-2 na araw ng Mayo.
2nd in line.	Pangalawa sa pila.
3 rings.	Tatlong singsing.
30000 graduates.	Tatlumpung libong gradweyt.
30th day of August.	Ika-30 na araw ng Agosto.
30th day of July.	Ika-30 na araw ng Hulyo.
30th day of June.	Ika-30 na araw ng Hunyo.
30th day of May.	Ika-30 na araw ng Mayo.
30th.	Pantatlumpu.
31st day of August.	Ika-31 na araw ng Agosto.
31st day of July.	Ika-31 na araw ng Hulyo.
31st day of May.	Ika-31 na araw ng Mayo.
31st.	Pantatlumpu't isa.
32nd.	Pantatlumpu't dalawa.
33rd.	Pantatlumpu't tatlo.
34th.	Pantatlumpu't apat.
35th.	Pantatlumpu't lima.
36th.	Pantatlumpu't anim.
37th.	Pantatlumpu't pito.
38th.	Pantatlumpu't walo.
39th.	Pantatlumpu't siyam.
3rd day of August.	Ika-3 na araw ng Agosto.
3rd day of July.	Ika-3 na araw ng Hulyo.
3rd day of June.	Ika-3 na araw ng Hunyo.
3rd day of May.	Ika-3 na araw ng Mayo.
3rd in line.	Pangatlo sa pila.
4 rings.	Apat na singsing.
400 patents.	400 na mga patente.
40000 graduates.	Apatnapu't libong mga gradweyt.
4th day of August.	Ika-4 na araw ng Agosto.
4th day of July.	Ika-4 na araw ng Hulyo.
4th day of June.	Ika-4 na araw ng Hunyo.
4th day of May.	Ika-4 araw ng Mayo.
4th in line.	Pang-apat sa pila.
5 rings.	Limang singsing.
50000 graduates.	Limampu't libong gradweyt.
5th day of August.	Ika-5 na araw ng Agosto.
5th day of July.	Ika-5 na araw ng Hulyo.
5th day of June.	Ika-5 na araw ng Hunyo.
5th day of May.	Ika-5 na araw ng Mayo.
5th in line.	Pang-lima sa pila.
5th of September.	Ikalima ng Setyembre.
6 pesos per hour.	6 na piso kada oras.
6 rings.	Animng singsing.
60000 graduates.	Animnapu't libong gradweyt.
6th day of August.	Ika-6 na araw ng Agosto.
6th day of July.	Ika-6 na araw ng Hulyo.
6th day of June.	Ika-6 na araw ng Hunyo.
6th day of May.	Ika-6 na araw ng Mayo.
6th in line.	Pang-anim sa pila.
7 rings.	Pitong singsing.
70000 graduates.	Pitumpung libong gradweyt.
7th day of August.	Ika-7 na araw ng Agosto.
7th day of July.	Ika-7 na araw ng Hulyo.
7th day of June.	Ika-7 na araw ng Hunyo.
7th day of May.	Ika-7 na araw ng Mayo.
7th in line.	Pampito sa pila.
8 is agreeable.	Ayos lang ang 8.
8 rings.	Walong singsing.
80000 graduates.	Walumpung libong gradweyt.
8th day of August.	Ika-8 na araw ng Agosto.
8th day of July.	Ika-8 na araw ng Hulyo.
8th day of June.	Ika-8 na araw ng Hunyo.
8th day of May.	Ika-8 na araw ng Mayo.
8th in line.	Pang-walo sa pila.
9 rings.	Siyam na singsing.
90000 graduates.	Siyamnapu't libong gradweyt.
9th day of August.	Ika-9 na araw ng Agosto.
9th day of July.	Ika-9 na araw ng Hulyo.
9th day of June.	Ika-9 na araw ng Hunyo.
9th day of May.	Ika-9 na araw ng Mayo.
9th in line.	Pansiyam sa pila.
A ate B's banana.	Kinain ni A ang saging ni B.
A beginning.	Isang simula.
A bird flies away.	May ibon na lumipad paalis.
A car drove past.	May dumaan na kotse.
A chick walked.	Naglakad ang sisiw.
A dancing crab in the sea.	Alimango sa dagat.
A dark road.	Madilim na daan.
A dog is an animal.	Ang aso ay isang hayop.
A dog walked.	Naglakad ang aso.
A few days passed.	Ilang araw na ang nakalipas.
A few years passed.	Ilang taon ang nakalipas.
A girl that is smart.	Ang babae na matalino.
A group of crocodiles?	Isang grupo ng mga buwaya?
A lot are asking.	Marami ang nagtatanong.
A man in power.	Isang taong nasa kapangyarihan.
A messiah coming.	Isang mesiyas na darating.
A paralyzed father.	Isang paralisadong ama.
A pod of hippos?	Isang grupo ng mga hippos?
A rival came.	Isang kalaban ang dumating.
A small car.	Isang maliit na kotse.
A trumpet.	Isang pakakak.
A wide road.	Isang malapad na daan.
Are you leaving already?	Aalis ka na ba?
Are you leaving?	Aalis ka na?
Abduct the child.	Dukutin ang bata.
About Christians.	Tungkol sa mga Kristiyano.
About five more minutes.	Mga limang minuto pa.
Absolutely not.	Siguradong hindi.
Accompany her instead.	Siya nalang ang samahan mo.
Accompany her.	Samahan mo siya.
Accompany him instead.	Siya nalang ang samahan mo.
Accompany him.	Samahan mo siya.
Accompany me instead.	Ako ang samahan mo.
Accompany me.	Samahan mo ako.
Accompany them instead.	Sila ang samahan mo.
Accompany them.	Samahan mo sila.
Accompany us.	Samahan mo kami.
According to the records.	Ayon sa mga naitala.
Add it slowly.	Idagdag mo nang dahan-dahan.
Adopt me.	Ampunin mo ako.
After the Tribulation.	Matapos ang Kapighatian.
After you.	Sunod mo.
Ain't it?	Hindi ba?
I am kind.	Ako ay mabait.
Algebra is difficult.	Mahirap ang algebra.
All are machines.	Lahat ay mga makina.
All I need is you.	Ang tanging kong kailangan ay ikaw.
All is well.	Ang lahat ay ayos lang.
All is wrong.	Lahat ay mali.
All of us traveled.	Lahat kami ay naglakbay.
All.	Lahat.
Almost done.	Malapit nang matapos.
Always be strong.	Magpakatatag ka palagi.
Always prepared.	Laging handa.
Am I accompanying you?	Sinasamahan ba kita?
Am I coming with you?	Sasamahan ba kita?
Am I dreaming?	Ako ba ay nananaginip?
Am I early?	Maaga ba ako?
Am I funny?	Nakakatawa ba ako?
Am I going to pass?	Papasa ba ako?
Am I handsome?	Gwapo ba ako?
Am I joining you?	Sasamahan ba kita?
Am I mistaken?	Mali ba ako?
Am I not enough?	Hindi pa ba ako sapat?
Am I not?	Hindi ba ako?
Am I pretty?	Maganda ba ako?
Amazing.	Kahanga-hanga.
Amy is so fat.	Napakataba ni Amy.
And I was convinced.	At ako ay nakumbinse.
And Lord.	At Panginoon.
And on that chip.	At sa chip na iyan.
And people will say.	At sasabihin ng mga tao.
And receive the mark.	At tinanggap ang mga marka.
And says.	At nagsasabing.
And sorcerers.	At sa mga mangkukulam.
And spy on you.	At magmamatyag sa iyo.
And ten horns.	At sampung sungay.
And that's it.	At iyon na iyon.
And the moon that will darken.	At ang buwan na magdidilim.
And the New Testament.	At sa Bagong Tipan.
And these?	At ang mga ito?
And time stands still.	At tumigil ang oras.
And victory.	At tagumpay.
And why shouldn't it?	At bakit hindi?
And you will be saved.	At maliligtas kayo.
And you?	At ikaw?
Andrea is running.	Si Andrea ay tumatakbo.
The bird is flying.	Ang ibon ay lumilipad.
The car is fast.	Ang sasakyan ay mabilis.
What are we?	Ano tayo?
What day is it today?	Anong araw ba ngayon?
What kind of shark?	Anong klaseng pating?
Answer him.	Sagutin mo siya.
Answer the puzzle.	Sagutan ang palaisipan.
Ants are strong.	Malakas ang mga langgam.
Any book will do.	Puwede ang anumang libro.
Any kind.	Kahit ano.
Any problem with that?	May angal ka ba doon?
Anybody else?	Meron bang ibang sasagot?
Anything else?	May iba pa?
Anything is possible.	Kahit ano ay posible.
Anything.	Kahit anuman.
Apple is cheap.	Mura ang mansanas.
Apple is cheaper.	Mas mura ang mansanas.
Apple is expensive.	Mahal ang mansanas.
Apple is nutritious.	Masustansya ang mansanas.
Apple is very cheap.	Napakamura ng mansanas.
Apples are delicious.	Masarap ang mga mansanas.
Ara is beautiful.	Maganda si Ara.
Archie is arrogant.	Mayabang si Archie.
Are all separate.	Ay magkahiwalay.
Are drinks free?	Libre ba ang mga inumin?
Are meals included?	Kasama ba pagkain dito?
Are the chairs broken?	Sira ba ang mga silya?
Are the chairs broken?	Sira ba ang mga upuan?
Are the tables broken?	Sira ba ang mga mesa?
Are there any bananas?	Mayroon bang saging?
Are there any questions?	May mga tanong ba?
Are there any tours?	May mga paglilibot ba?
Are they abroad?	Nasa ibang bansa ba sila?
Are they all the same?	Magkapareho ba sila?
Are they any good?	Sila ba ay mabuti?
Are they joining me?	Sasamahan ba nila ako?
Are they joining you?	Sasamahan ka ba nila?
Are they leaving tomorrow?	Aalis na ba sila bukas?
Are they okay?	Okay lang ba sila?
Are they your guests?	Bisita mo ba sila?
Are those formulas?	Iyan ba ay mga pormula?
Are we almost there?	Malapit na ba tayo?
Are we done yet?	Tapos na ba tayo?
Are we finished?	Tapos na ba tayo?
Are we going straight there?	Dederetso na ba tayo doon?
Are we going to be late?	Magagabihan ba tayo?
Are we going to eat?	Kakain ba tayo?
Are we going to pass?	Papasa ba tayo?
Are we lost?	Nawawala na ba tayo?
Are we prepared?	Handa ba tayo?
Are we safe yet?	Ligtas na ba tayo?
Are we there yet?	Nandoon na ba tayo?
Are we turning left?	Kakaliwa ba tayo?
Are we turning right?	Kakanan ba tayo?
Are you a Filipino?	Pilipino ka ba?
Are you a rock?	Bato ka ba?
Are you afraid of death?	Takot ka bang mamatay?
Are you afraid?	Natatakot ka ba?
Are you all lost?	Nawawala ba kayong lahat?
Are you already done, too?	Tapos ka na rin ba?
Are you already done?	Tapos ka na ba?
Are you already finished?	Tapos ka na ba?
Are you alright now?	Okay ka lang ba ngayon?
Are you alright?	Ayos ka lang?
Are you alright?	Ayos ka lang ba?
Are you an athlete?	Isa ka bang atleta?
Are you angry with me?	Galit ka ba sa akin?
Are you artistic?	Masining ka ba?
Are you awake?	Gising ka ba?
Are you being serious?	Seryoso ka ba?
Are you better now?	Magaling ka na ba?
Are you bored yet?	Naiinip ka na ba?
Are you busy?	Busy ka ba?
Are you busy?	Marami ka bang ginagawa?
Are you buying fish?	Bumibili ba kayo ng isda?
Are you buying nuts?	Bumibili ba kayo ng mani?
Are you checking in?	Ikaw ba ay magchecheck-in?
Are you coming back?	Babalik ka pa ba?
Are you coming with me?	Sinasamahan mo ba ako?
Are you coming?	Pupunta ka ba?
Are you crazy?	Baliw kaba?
Are you crazy?	Baliw ka ba?
Are you crazy?	Naloloko ka ba?
Are you done yet?	Tapos ka na ba?
Are you done?	Tapos ka na?
Are you done?	Tapos ka na ba?
Are you driven?	Nahihimok ka ba?
Are you finished?	Tapos ka na ba?
Are you for real?	Totoo ka ba?
Are you free right now?	Bakante ka ba ngayon?
Are you free today?	Libre ka ba ngayon?
Are you free today?	Libre ka ba ngayong araw?
Are you free tomorrow?	Libre ka ba bukas?
Are you free tonight?	Libre ka ba ngayong gabi?
Are you free?	Libre ka ba?
Are you from around here?	Taga-dito ka ba?
Are you going home now?	Uuwi ka na ba?
Are you going home now?	Pauwi ka na ba?
Are you going home?	Uuwi ka na ba?
Are you going with me?	Sinasamahan mo ba ako?
Are you happy now?	Masaya ka na?
Are you happy?	Masaya ka ba?
Are you here alone?	Magisa ka lang ba dito?
Are you here often?	Madalas ka ba dito?
Are you hungry already?	Nagugutom ka na ba?
Are you hungry?	Gutom ka ba?
Are you hungry?	Gutom ka na ba?
Are you hurt?	Nasaktan ka ba?
Are you in college?	Nasa kolehiyo ka ba?
Are you joining her?	Sinasamahan mo ba siya?
Are you joining him?	Sinasamahan mo ba siya?
Are you joining me?	Sinasamahan mo ba ako?
Are you joining them?	Sinasamahan mo ba sila?
Are you joking?	Nagbibiro ka ba?
Are you kidding?	Nagbibiro ka ba?
Are you learning?	Natututo ka ba?
Are you leaving now?	Aalis ka na?
Are you left-handed?	Kaliwete ka ba?
Are you listening?	Nakikinig ka ba?
Are you lost?	Nawawala ka ba?
Are you mad at me?	Galit ka ba sa akin?
Are you mad?	Galit ka ba?
Are you making me laugh?	Pinapatawa mo ba ako?
Are you married?	May asawa ka na ba?
Are you Mister Dylan?	Kayo ba si Ginoong Dylan?
Are you my cousin?	Pinsan ba kita?
Are you new here?	Bago ka lang ba dito?
Are you not annoyed?	Hindi ka ba naiinis?
Are you not excited?	Nasasabik ka ba?
Are you not going?	Hindi ka na ba pupunta?
Are you not?	Hindi ba?
Are you okay?	Okay ka lang?
Are you okay?	Ayos kalang ba?
Are you okay?	Ayos ka lang ba?
Are you on holiday?	Nasa bakasyon ka ba?
Are you open tomorrow?	Bukas ba kayo bukas?
Are you ready to order?	Handa ka na magorder?
Are you ready?	Handa ka na ba?
Are you sad?	Malungkot ka ba?
Are you seeing this?	Nakikita mo ba ito?
Are you serious?	Seryoso ka?
Are you serious?	Seryoso ka ba?
Are you sick?	May sakit ka ba?
Are you sleepy?	Inaantok ka ba?
Are you sleepy?	Inaantok ka na ba?
Are you still doing it?	Ginagawa mo pa ba?
Are you still happy?	Masaya ka pa ba?
Are you still here?	Nandito ka pa ba?
Are you still single?	Single ka pa rin ba?
Are you still there?	Nandiyan ka pa ba?
Are you strong?	Malakas ka ba?
Are you stupid?	Bobo ka ba?
Are you sure about that?	Sigurado ka ba diyan?
Are you sure?	Sigurado ka?
Are you sure?	Sigurado ka ba?
Are you sure?	Natitiyak ka ba?
Are you taking medicine?	Naggagamot ka ba?
Are you tired?	Pagod ka na?
Are you tired?	Pagod ka ba?
Are you uneducated?	Isa ka bang mangmang?
Are you watching me?	Pinapanood mo ba ako?
Aren't they?	Hindi ba?
Aren't you going?	Hindi ka na ba pupunta?
Aren't you late?	Hindi ka pa huli?
Aren't you sleepy?	Di ka ba inaantok?
Aren't you thirsty?	Di ka ba nauuhaw?
Aren't you?	Hindi ba?
Aren't you annoyed?	Hindi ka ba naiinis?
As expected.	Tulad ng inaasahan ko.
As for me, I don't like eggs.	Ayoko ng itlog.
As God in the flesh.	Diyos na isang tao.
As soon as possible.	Sa madaling panahon.
As the messiah.	Bilang mesiyas.
As we look at it.	Ng pagtingin natin dito.
As ye know.	Katulad ng alam ninyo.
Ask again later.	Magtanong ka ulit mamaya.
Ask around.	Magtanong-tanong.
Ask him.	Tanungin mo siya.
Ask me tomorrow.	Tanungin mo ako bukas.
Ask my wife.	Tanungin mo ang aking asawa.
Ask them.	Tanungin mo sila.
At a time like this?	Sa oras na tulad nito?
At that time.	Sa panahong iyon.
At the beginning.	Buhat pa nang una.
At the half.	Sa kalagitnaan.
At the run about.	Sa paikot na daanan.
At what time?	Anong oras?
Attack!	Sugod!
Aubrey is beautiful.	Si Aubrey ay maganda.
August 10th.	Ika-10 araw ng Agosto.
August 11th.	Ika-11 araw ng Agosto.
August 12th.	Ika-12 araw ng Agosto.
August 13th.	Ika-13 araw ng Agosto.
August 14th.	Ika-14 araw ng Agosto.
August 15th.	Ika-15 araw ng Agosto.
August 16th.	Ika-16 araw ng Agosto.
August 17th.	Ika-17 araw ng Agosto.
August 18th.	Ika-18 araw ng Agosto.
August 19th.	Ika-19 araw ng Agosto.
August 1st.	Ika-1 araw ng Agosto.
August 20th.	Ika-20 araw ng Agosto.
August 21st.	Ika-21 araw ng Agosto.
August 22nd.	Ika-22 araw ng Agosto.
August 23rd.	Ika-23 araw ng Agosto.
August 24th.	Ika-24 araw ng Agosto.
August 25th.	Ika-25 araw ng Agosto.
August 26th.	Ika-26 araw ng Agosto.
August 27th.	Ika-27 araw ng Agosto.
August 28.	Agosto nang dalawampu't walo.
August 28th.	Ika-28 araw ng Agosto.
August 29th.	Ika-29 araw ng Agosto.
August 2nd.	Ika-2 araw ng Agosto.
August 30th.	Ika-30 araw ng Agosto.
August 31st.	Ika-31 araw ng Agosto.
August 3rd.	Ika-3 araw ng Agosto.
August 4th.	Ika-4 araw ng Agosto.
August 5th.	Ika-5 araw ng Agosto.
August 6th.	Ika-6 araw ng Agosto.
August 7th.	Ika-7 araw ng Agosto.
August 8th.	Ika-8 araw ng Agosto.
August 9th.	Ika-9 araw ng Agosto.
Auntie do you have change?	May barya ka tita?
Avocadoes are green.	Berde ang mga abokado.
Avoid erasures.	Iwasan ang pagbura.
Avoid making erasures.	Iwasan ang magbura.
Fix yourself.	Ayusin mo nga sarili mo.
Back away.	Umatras ka.
Backward.	Patalikod.
Bad news.	Masamang balita.
Why are you sad?	Bakit ka malungkot?
Why are you living?	Bakit ka nabubuhay?
Bamboos are sturdy.	Matibay ang mga kawayan.
Banana is cheap.	Mura ang saging.
Banana is cheaper.	Mas mura ang saging.
Banana is expensive.	Mahal ang saging.
Banana is nutritious.	Masustansya ang saging.
Banana is the cheapest.	Pinakamura ang saging.
Banana is very cheap.	Napakamura ng saging.
Bananas are delicious.	Masarap ang saging.
Bananas are tasty.	Malasa ang mga saging.
Bananas are yellow.	Dilaw ang saging.
Bats are blind.	Bulag ang mga paniki.
Battle.	Pakikipaglaban.
No entry here.	Bawal pumasok dito.
Be a little concerned.	Mag-alala nang kaunti.
Be alert.	Maging alerto ka.
Be brave.	Maging matapang ka.
Be careful driving.	Ingat sa pagmamaneho.
Be careful!	Mag-ingat ka!
Be careful.	Ingat.
Be careful.	Mag-ingat ka.
Be creative.	Maging mapaglikha.
Be fearless.	Huwag kang matakot.
Be happy.	Sumaya ka.
Be offended.	Matisod.
Be offended.	Masaktan.
Be quiet now.	Tumahimik ka na.
Be quiet.	Manahimik ka.
Be still.	Huwag kang gagalaw.
Be strong.	Magpakatatag ka.
Be there at noon.	Pumunta ka doon ng tanghali.
Be worth anything.	Wala na itong halaga.
Be yourself.	Isipin mo ang sarili mo.
Bears are studious.	Palaaral ang mga oso.
Bears are stupid.	Tanga ang mga oso.
Bears could dig.	Kayang maghukay ng mga oso.
Bears have no brains.	Walang utak ang mga oso.
Bears talk.	Nagsasalita ang mga oso.
Beast before him.	Hayop sa kaniyang paningin.
Beast.	Hayop.
Because of the word.	Dahil sa salita.
Beef is greasy.	Ang karne ng baka ay masebo.
Beef or fish?	Karne ng baka o isda?
Been baptized.	Nabautismohan.
Beer makes you drunk.	Nakakalasing ang beer.
Before Matthew 24.	Bago ang Mateo 24.
Before the match.	Bago ang laro.
Being stubborn?	Matigas ang ulo?
Believe me.	Paniwalaan mo ako.
Believe me.	Maniwala ka sa akin.
Believe in God.	Maniwala sa panginoon.
Benson is early.	Ang aga ni Benson.
Best avoid him.	Mas mabuting iwasan sya.
Bet on your baby.	Pumusta ka sa iyong anak.
Bet, sir?	Pustahan, sir?
Better stay inside.	Huwag ka na lang lumabas.
Beware of bears.	Mag-ingat sa mga oso.
Beware of pickpocket.	Mag-ingat sa mandurukot.
Beyond the border.	Sa kabilang ibayo.
Bible says.	Sabi ng Bibliya.
Biblical prophecy.	Sa propesiya ng bibliya.
Big place.	Malaking lugar.
Big room.	Malaking silid.
Big room.	Malaking kwarto.
Bigger, cheaper.	Mas malaki, mas mura.
Bilimbis are delicious.	Masarap ang mga kamias.
Biodemography.	Biodemograpiya.
Birds are flying.	Ang mga ibon ay lumilipad.
Birds are talkative.	Madaldal ang mga ibon.
Birds can fly.	Kayang lumipad ng mga ibon.
Birds can sing.	Kayang kumanta ng mga ibon.
Birds can talk.	Kayang magsalita ng mga ibon.
Birds could fly.	Nakakalipad ang mga ibon.
Birds fly.	Lumilipad ang mga ibon.
Birds sing.	Kumakanta ang mga ibon.
Let's viisit him.	Bisitahin natin siya.
Bitter gourd is cheap.	Mura ang ampalaya.
Bitter gourd is expensive.	Mahal ang ampalaya.
Black plum is cheap.	Mura ang duhat.
Black plum is cheaper.	Mas mura ang duhat.
Black plum is expensive.	Mahal ang duhat.
Black plum is very cheap.	Napakamura ng duhat.
Block my number.	Harangan mo ang numero ko.
Bombs are bad.	Masama ang mga bomba.
Books, sir.	Libro, sir.
Born again.	Isinilang muli.
Bottle gourd is cheap.	Mura ang upo.
Bottle gourd is cheaper.	Mas mura ang upo.
Bottle gourd is expensive.	Mahal ang upo.
Bottle gourd is very cheap.	Napakamura ng upo.
Bottles are breaking.	Nababasag ang mga bote.
Bountiful blessings.	Maraming biyaya.
Brachiopod 335 types.	Brachiopod 335 na mga uri.
Bread or rice?	Tinapay o kanin?
Break it for me.	Sirain mo iyan para sa akin.
Break the door.	Sirain ang pinto.
Breakfast is served.	Nahain na ang almusal.
Breathe normally.	Huminga nang normal.
Breathe!	Hinga!
Brilliant.	Magaling.
Bring a bottle.	Magdala ka ng bote.
Bring a date.	Magdala ka ng kasama.
Bring a mirror.	Magdala ka ng salamin.
Bring food.	Magdala ng pagkain.
Bring help.	Magdala ng tulong.
Bring the water to a boil.	Pakuluan ang tubig.
Bring wine.	Magdala ka ng alak.
Broken eggs.	Mga basag na itlog.
Brother do you have change?	May barya ka kuya?
Bruno is always busy.	Laging abala si Bruno.
Bruno is still busy.	Abala pa si Bruno.
Brush your teeth first.	Magsipilyo ka muna.
Brush your teeth now.	Magsipilyo ka na.
Bulls are aggressive.	Agresibo ang mga toro.
Bullying is bad.	Masama ang mang-api.
I bought food.	Bumili ako ng pagkain.
Burma will change.	Magbabago ang Burma.
Burn him in hell.	Sunugin nyo sya sa impyerno.
Burn it all.	Sunugin mo lahat.
Bus stop.	Sakayan ng bus.
Business is good.	Ang negosyo ay mabuti.
But he did it too.	Pero ginawa niya rin ito.
But I will try.	Pero kakayanin ko.
But it says.	Pero ang sinasabi nito.
But it wasn't for long.	Ngunit hindi ito mahaba.
But no luck.	Pero hindi sinuwerte.
But she did it too.	Pero ginawa niya rin ito.
But the Bible says:.	Pero ayon sa Bibliya.
But the Bible says.	Pero sabi ng Bibliya.
But we are helping.	Tumutulong naman kami.
But what do we know?	Ngunit ano ang alam natin?
But what for?	Ngunit para saan?
But will you pass?	Pero papasa ka ba?
But will you pass?	Ngunit papasa ka ba?
But will you pass?	Subalit papasa ka ba?
Buy dessert.	Bumili ka ng panghimahagas.
Buy fruits.	Bumili ng mga prutas.
Buy me a drink.	Pabili ng maiinom.
Buy potato.	Bumili ng patatas.
By 1000 BC.	Magmula noong 1000 BK.
By air or by sea?	Sa hangin o sa dagat?
By the 1400s.	Magmula ika-14 na dantaon.
Cabbage is cheap.	Mura ang repolyo.
Cabbage is cheaper.	Mas mura ang repolyo.
Cabbage is expensive.	Mahal ang repolyo.
Cabbage is nutritious.	Masustansya ang repolyo.
Cabbage is very cheap.	Napakamura ng repolyo.
Cabbages are green.	Berde ang mga repolyo.
Call an ambulance.	Tumawag ka ng ambulansya.
Call him.	Tawagan mo siya.
Call me later.	Tawagan mo ako mamaya.
Call me tomorrow.	Tawagan mo ako bukas.
Call me tonight.	Tawagan mo ako mamayang gabi.
Call Peter.	Tawagin mo si Pedro.
Call the ambulance.	Tumawag ka ng ambulansya.
Call the ambulance.	Tawagan moa ng ambulansya.
Call the police!	Tumawag ka ng pulis!
Call the police.	Tumawag ka ng pulis.
Call the police.	Tawagan moa ng mga pulis.
Call Tom immediately.	Tawagan mo agad si Tom.
Call us tomorrow.	Tawagan mo kami bukas.
Calm down.	Kumalma ka.
