Good morning, he said.	Magandang umaga, sinabi niya.
70 bundles of cartolina.	Pitumpung bigkis ng cartolina.
700 liters of water.	Pitong daang litro ng tubig.
7000 liters of water.	Pitong libong litro ng tubig.
700000 graduates.	Pitong daang libong gradweyt.
80 bundles of cartolina.	Walumpung bigkis ng cartolina.
800 liters of water.	Walong daang litro ng tubig.
8000 liters of water.	Walong libong litro ng tubig.
800000 graduates.	Walong daang libong gradweyt.
90 bundles of cartolina.	Siyamnapung bigkis ng cartolina.
900 liters of water.	Siyam na raang litro ng tubig.
9000 liters of water.	Siyam na libong litro ng tubig.
900000 graduates.	Siyam na raang libong gradweyt.
A ate the banana of B.	Kinain ni A ang saging ni B.
A big demon appeared.	Isang malaking demonyo ang nagpakita.
A big demon shows up.	Isang malaking demonyo ang nagpakita.
A big fish appears.	Dumating ang isang malaking isda.
A big frog appears.	Dumating ang isang malaking palaka.
A blood vessel burst inside his brain.	Pumutok ang ugat niya.
A bull has just been killed.	Isang toro ang pinatay.
A card is controlling the bus.	Kontrolado ng kard ang bus.
A cat sat on the bench.	Naupo ang pusa sa bangko.
A chick sat on the bench.	Naupo ang sisiw sa bangko.
A coalition of cheetahs?	Isang koalisyon ng mga cheetah?
A coughing mother.	Isang ina na walang tigil sa pag-ubo.
A dog has four legs.	Ang aso ay may apat na paa.
A few centuries have passed.	Ilang siglo ang nakalipas.
A few days have already passed.	Ilang araw na ang nakalipas.
A few decades passed.	Ilang dekada ang nakalipas.
A few hours have already passed.	Ilang oras na ang nakalipas.
A few minutes passed.	Ilang minuto ang nakalipas.
A few months passed.	Ilang buwan ang nakalipas.
A few seconds passed.	Ilang segundo ang nakalipas.
A few thousand years past.	Ilang libong taon ang nakalipas.
A few weeks passed.	Ilang linggo ang nakalipas.
A few years have already passed.	Ilang taon na ang nakalipas.
A firefly flies away.	May alitaptap na lumipad paalis.
A friendly fish appears.	Isang mabait na isda ang nagpakita.
A glass of water, please.	Basong tubig, nga.
A horse can run very fast.	Nakakatakbong mabilis ang kabayo.
A house is not a home.	Ang bahay ay hindi isang tahanan.
A kitten has just been killed.	Isang kuting ang pinatay.
A lot of carabaos are hungry.	Maraming kalabaw ang nagugutom.
A lot of carabaos are thirsty.	Maraming kalabaw ang nauuhaw.
A lot of cards can be seen.	Maraming kard ang nakikita.
A lot of chickens went home.	Maraming manok ang umuwi.
A lot of fishes are strong.	Maraming isda ang malakas.
A lot of frogs are strong.	Maraming palaka ang malakas.
A lot of horses are cheating.	Maraming kabayo ang nanduduga.
A lot of jellyfishes went home.	Maraming dikya ang umuwi.
A lot of people went.	Maraming tao ang pumunta.
A lot of sharks are thirsty.	Maraming pating ang nauuhaw.
A lot of shrimps are cheating.	Maraming hipon ang nanduduga.
A lot of time got wasted.	Maraming oras ang nasayang.
A number of cats screamed.	Maraming pusa ang tumili.
A number of chicks fought.	Maraming sisiw ang lumaban.
A number of chicks screamed.	Maraming sisiw ang tumili.
A number of dogs fought.	Maraming aso ang lumaban.
A part of me is missing.	Nawawala ang isang parte ko.
A person has two kidneys.	May dalawang bato ang isang tao.
A peso is worth 2 yen.	Ang piso ay nagkakahalaga ng 2 yen.
A pig has a short tail.	Ang baboy ay may maikling buntot.
A pig has just been killed.	Isang baboy ang pinatay.
A promise that never came true.	Isang pangakong napako.
A quail bird's nest, sir.	Isang pugad ng pugo, sir.
A rival shark appears.	Nagpakita ang isang karibal na pating.
A round of applause!	Isang masigabong palakpakan!
A sheep flies away.	May tupa na lumipad paalis.
A small and dingy room.	Isang maliit at madilim na kwarto.
A spider has eight legs.	Ang isang gagamba ay may walong paa.
A strong camel emerges.	Lumabas ang malakas na kamelyo.
A strong centipede emerges.	Lumabas ang malakas na luslos.
A strong deer emerges.	Lumabas ang malakas na usa.
A strong foe arrives.	Dumating ang isang malakas na kalaban.
A teacher helped me.	Tingnan mo ang mga bituin.
A tower of giraffes?	Isang tore ng mga giraffes?
A training camp is near.	Nalalapit ang isang pagsasanay.
A weird animal appeared.	Nagpakita ang isang kakaibang hayop.
A weird bear appears.	Isang kakaibang oso ang nagpakita.
A weird bird appears.	May nagpakitang kakaibang ibon.
A weird firefly appears.	May nagpakitang kakaibang alitaptap.
A weird sheep appears.	May nagpakitang kakaibang tupa.
A window seat, please.	Isang upuan po malapit sa bintana.
About how many books do you own?	Mga ilang libro meron ka?
Acanthocephala 1,100 types.	Acanthocephala 1,100 mga uri.
Act like everything is normal.	Umarte kang normal ang lahat.
Actually it wasn't a church.	Tunay na hindi ito isang simbahan.
Add a couple from me too.	Idagdag nyo pa yung sa akin.
Add milk for better taste.	Lagyan mo ng gatas para sumarap.
Add one more cup.	Magdagdag ka ng isa pang tasa.
Advise your seatmate.	Payuhan mo ang iyong katabi.
After a century, electricity was still being generated.	Matapos ang isang siglo, ang elektrisidad ay patuloy pa rin na nililikha.
After that, he went home.	Pagkatapos nun, umuwi na siya.
Afternoon of December 1.	Hapon ng ika-isa ng Disyembre.
Afternoon of December 10.	Hapon ng ika-sampu ng Disyembre.
Afternoon of December 15.	Hapon ng ika-labinlima ng Disyembre.
Afternoon of December 17.	Hapon ng ika-labinpito ng Disyembre.
Afternoon of December 18.	Hapon ng ika-labinwalo ng Disyembre.
Afternoon of December 2.	Hapon ng ika-dalawa ng Disyembre.
Afternoon of December 20.	Hapon ng ika-dalawampu ng Disyembre.
Afternoon of December 3.	Hapon ng ika-tatlo ng Disyembre.
Afternoon of December 30.	Hapon ng ika-tatlumpu ng Disyembre.
Afternoon of December 4.	Hapon ng ika-apat ng Disyembre.
Afternoon of December 5.	Hapon ng ika-lima ng Disyembre.
Afternoon of December 6.	Hapon ng ika-anim ng Disyembre.
Afternoon of December 7.	Hapon ng ika-pito ng Disyembre.
Afternoon of December 8.	Hapon ng ika-siyam ng Disyembre.
Afternoon of November 1.	Hapon ng ika-isa ng Nobyembre.
Afternoon of November 10.	Hapon ng ika-sampu ng Nobyembre.
Afternoon of November 15.	Hapon ng ika-labinlima ng Nobyembre.
Afternoon of November 17.	Hapon ng ika-labinpito ng Nobyembre.
Afternoon of November 18.	Hapon ng ika-labinwalo ng Nobyembre.
Afternoon of November 2.	Hapon ng ika-dalawa ng Nobyembre.
Afternoon of November 20.	Hapon ng ika-dalawampu ng Nobyembre.
Afternoon of November 3.	Hapon ng ika-tatlo ng Nobyembre.
Afternoon of November 30.	Hapon ng ika-tatlumpu ng Nobyembre.
Afternoon of November 4.	Hapon ng ika-apat ng Nobyembre.
Afternoon of November 5.	Hapon ng ika-lima ng Nobyembre.
Afternoon of November 6.	Hapon ng ika-anim ng Nobyembre.
Afternoon of November 7.	Hapon ng ika-pito ng Nobyembre.
Afternoon of November 8.	Hapon ng ika-siyam ng Nobyembre.
Afternoon of October 1.	Hapon ng ika-isa ng Oktubre.
Afternoon of October 10.	Hapon ng ika-sampu ng Oktubre.
Afternoon of October 11.	Hapon ng ika-labing-isa ng Oktubre.
Afternoon of October 12.	Hapon ng ika-labindalawa ng Oktubre.
Afternoon of October 13.	Hapon ng ika-labintatlo ng Oktubre.
Afternoon of October 14.	Hapon ng ika-labing-apat ng Oktubre.
Afternoon of October 15.	Hapon ng ika-labinlima ng Oktubre.
Afternoon of October 16.	Hapon ng ika-labing-anim ng Oktubre.
Afternoon of October 17.	Hapon ng ika-labinpito ng Oktubre.
Afternoon of October 18.	Hapon ng ika-labinwalo ng Oktubre.
Afternoon of October 19.	Hapon ng ika-labingsiyam ng Oktubre.
Afternoon of October 2.	Hapon ng ika-dalawa ng Oktubre.
Afternoon of October 20.	Hapon ng ika-dalawampu ng Oktubre.
Afternoon of October 3.	Hapon ng ika-tatlo ng Oktubre.
Afternoon of October 30.	Hapon ng ika-tatlumpu ng Oktubre.
Afternoon of October 4.	Hapon ng ika-apat ng Oktubre.
Afternoon of October 5.	Hapon ng ika-lima ng Oktubre.
Afternoon of October 6.	Hapon ng ika-anim ng Oktubre.
Afternoon of October 7.	Hapon ng ika-pito ng Oktubre.
Afternoon of October 8.	Hapon ng ika-siyam ng Oktubre.
Afternoon of September 1.	Hapon ng ika-isa ng Septyembre.
Afternoon of September 10.	Hapon ng ika-sampu ng Septyembre.
Afternoon of September 2.	Hapon ng ika-dalawa ng Septyembre.
Afternoon of September 3.	Hapon ng ika-tatlo ng Septyembre.
Afternoon of September 4.	Hapon ng ika-apat ng Septyembre.
Afternoon of September 5.	Hapon ng ika-lima ng Septyembre.
Afternoon of September 6.	Hapon ng ika-anim ng Septyembre.
Afternoon of September 7.	Hapon ng ika-pito ng Septyembre.
Afternoon of September 8.	Hapon ng ika-siyam ng Septyembre.
I am a student.	Ako ay isang mag-aaral/estudyante.
I will pay tonight.	Ako na magbabayad ngayon gabi.
Lets take care the nature.	Alagaan natin ang kalikasan.
I know where you live.	Alam ko saan ka nakatira.
All bees have a ball.	Lahat ng bubuyog ay may bola.
All bees have a helmet.	Lahat ng bubuyog ay may helmet.
All cockroaches are pirates.	Ang lahat ng ipis ay pirata.
All eyes on me.	Ituon lahat ng atensyon sa akin.
All hens are pirates.	Ang lahat ng inahin ay pirata.
All I needed was protein.	Ang kailangan ko lang ay protina.
All I trust is you.	Ikaw lang ang pinagkakatiwalaan ko.
All is well, friend.	Ayos lang ang lahat, kaibigan.
All its types are parasites.	Lahat ng mga uri nito'y parasito.
All my friends are dead.	Patay na ang aking mga kaibigan.
All my senses come to life.	Nabuhay lahat ng aking huwisyo.
All puppies have a ball.	Lahat ng tuta ay may bola.
All puppies have a helmet.	Lahat ng tuta ay may helmet.
All rabbits are pirates.	Ang lahat ng kuneho ay pirata.
All the chairs are broken!	Sira ang lahat ng mga silya!
All the chairs are broken!	Sira ang lahat ng mga upuan!
All the chairs are broken.	Sira ang lahat ng mga silya.
All the chairs are broken.	Sira ang lahat ng mga upuan.
All the kids are jumping.	Nagsimula tumalon ang mga bata.
All the tables are broken!	Sira ang lahat ng mga mesa!
All the tables are broken.	Sira ang lahat ng mga mesa.
All these chairs are broken!	Sira lahat itong mga silya!
All these chairs are broken!	Sira lahat itong mga upuan!
All these chairs are broken.	Sira lahat itong mga silya.
All these chairs are broken.	Sira lahat itong mga upuan.
All these scars remain.	Nananatili ang mga peklat.
All these tables are broken!	Sira lahat itong mga mesa!
All these tables are broken.	Sira lahat itong mga mesa.
all these wonderful works.	nitong mga kahanga-hangang gawain.
All things are wonderful!	Lahat ng bagay ay maganda!
All those chairs are broken!	Sira lahat iyong mga silya!
All those chairs are broken!	Sira lahat iyong mga upuan!
All those chairs are broken.	Sira lahat iyong mga silya.
All those chairs are broken.	Sira lahat iyong mga upuan.
All those tables are broken!	Sira lahat iyong mga mesa!
All those tables are broken.	Sira lahat iyong mga mesa.
All tigers have a ball.	Lahat ng tigre ay may bola.
All tigers have a helmet.	Lahat ng tigre ay may helmet.
All you need is sleep.	Tulog lang iyong kailangan.
Almost everyone was late.	Halos lahat ay nahuli.
Almost no one believed him.	Halos walang naniwala sa kanya.
Always listen to your teacher.	Laging makinig sa iyong guro.
Always pray every day.	Palaging magdasal araw-araw.
Always trust in God.	Magtiwala ka palagi sa Panginoon.
Always wash your hands.	Laging maghugas ng kamay.
Am I talking to myself?	Kinakausap ko ba ang sarili ko?
America, Jason said.	Amerika, sabi ni Jason.
Ana is good at singing.	Si Ana ay magaling kumanta.
And are the hours the same?	parehas lang ba ang oras?
and as technology expands.	at habang ang teknolohiya ay lumalawak.
And have a word of prayer.	At tayo ay manalangin.
And I hoped that my smile.	At inaasahan ko na ang aking ngiti.
And I know it's a good life.	At alam kong magandang buhay ito.
And I took out my wallet.	At kinuha ko ang aking pitaka.
and it is a biblical term.	at ito ay salita mula sa bibliya.
And it is fun to learn a lot.	At masayang matututo ng marami.
And my fate was sealed.	At naselyohan na ang kapalaran ko.
And now here we stand hungry.	at ngayon ay nagututom na tayo.
And now this duel!	at ngayon naman ay ang pagtutuos!
and suppose they said.	at paano kung kanilang sasabihin.
And that's how I felt.	At ganiyan ang naramdaman ko.
And the sound of the smell.	At ang tunog ng amoy.
And there are plenty of women.	Ang dami pang mga babae.
And they continue to do so.	At patuloy nilang ginagawa ito.
And tomorrow is a long day.	At mahaba ang araw bukas.
And we slept peacefully.	At nakakatulog kami nang payapa.
And what is the time limit for this?	gaano katagal lamang ito?
and what the day has shown.	at kung ano ang ipinakita ng araw.
and you will be saved.	kayo at kayo ay maliligtas.
Andrew is a traveler.	Si Andrew ay isang manlalakbay.
This song is for you.	Ang awitin na ito ay para sa iyo.
The new station is bigger.	Ang bagong stasyon ay mas malaki.
The rainbow is colorful.	Ang bahaghari ay makulay.
This is so difficult to do.	Ang hirap naman gawin ito.
Fear in only in the mind.	Ang takot ay nasa isip lamang.
Angels are calling.	Ang mga anghel ay tumatawag.
Annelida 16,500 types.	Annelida 16,500 mga uri.
What time will we meet?	Anong oras tayong magkita?
Another bird arrives.	Isa pang ibon ang dumating.
Another bottle of wine, please.	Isa pang bote ng alak, po.
Another card is on the loose.	Isa pang kard ang nakawala.
Another chicken shows up.	Isa pang manok ang nagpakita.
Another day has passed.	Isa na namang araw ang lumipas.
Another firefly arrives.	Isa pang alitaptap ang dumating.
Another God-fearing soul.	Isang kaluluwang takot sa Diyos.
Another jellyfish shows up.	Isa pang dikya ang nagpakita.
Another promise was tested.	Isang pangako ang masusubukan.
Another sheep arrives.	Isa pang tupa ang dumating.
Ants can be spirits.	Kayang maging espiritu ng mga langgam.
Ants eat bread.	Kumakain ng tinapay ang mga langgam.
Ants eat sugar.	Kumakain ng asukal ang mga langgam.
Ants have queens.	Mayroong mga reyna ang mga langgam.
Ants have six legs.	May anim na paa ang mga langgam.
Ants have soldiers.	Mayroong mga sundalo ang mga langgam.
Ants have workers.	Mayroong mga trabahador ang mga langgam.
Any more vacant rooms?	Meron pa bang mga bakanteng kwarto?
Any plants or food?	May dala ka bang halaman o pagkain?
any type of Christianity.	na anumang uri ng Kristianismo.
Anything can come in here.	Anuman ang makakapasok dito.
Anything can go.	Kahit na anong bagay ay maaaring umalis.
Anyway we can pay for it.	Tutal kaya naman natin bayaran.
apple is getting more expensive.	mas nagmumura ang mansanas.
Apple is good for the body.	Maganda sa katawan ang mansanas.
Apple is more expensive.	Mas mahal ang mansanas.
apple is not that cheap.	hindi ganoon kamura ang mansanas.
Apple is nutritious.	Ang mansanas ay masustansya.
Apple is the cheapest.	Pinakamura ang mansanas.
apple is the most expensive.	pinakamahal ang mansanas.
Apple is very expensive.	Napakamahal ng mansanas.
Apple makes you smarter.	Pampatalino ang mansanas.
Apples are delicious.	Masarap ang mga mansanas.
Apples are my favorite.	Mansanas ang paborito ko.
Apples grow on trees.	Sa puno lumalaki ang mansanas.
April one is the date today.	Ikauna ng Abril ang petsa ngayon.
Archie speaks arrogantly.	Ang yabang ni Archie magsalita.
Archie was arrogant earlier.	Ang yabang ni Archie kanina.
are alive and remain unto the coming of the.	nangabubuhay.
Are all the chairs broken?	Sira ba ang lahat ng mga silya?
Are all the chairs broken?	Sira ba ang lahat ng mga upuan?
Are all the tables broken?	Sira ba ang lahat ng mga mesa?
Are all these chairs broken?	Sira ba lahat itong mga silya?
Are all these chairs broken?	Sira ba lahat itong mga upuan?
Are all these tables broken?	Sira ba lahat itong mga mesa?
Are all those chairs broken?	Sira ba lahat iyong mga silya?
Are all those chairs broken?	Sira ba lahat iyong mga upuan?
Are all those tables broken?	Sira ba lahat iyong mga mesa?
Are Ester's eyes beautiful?	Maganda ba mga mata ni Ester?
are really going to happen.	ay tunay na mangyayayri .
Are the computers broken?	Sira ba ang mga kompyuter?
Are the grapes seedless?	Ang ubas ba ay walang buto?
Are there any concerts?	Mayroon bang kahit anong konsyerto?
Are there any people here?	May mga tao ba dito?
Are there any vacant slots?	May mga bakante pa bang pwesto?
Are there vacant seats?	May mga bakante pa bang upuan?
Are these bananas ripe?	Hinog na ba ang saging na ito?
Are these chairs broken?	Sira ba itong mga silya?
Are these chairs broken?	Sira ba itong mga upuan?
Are these computers broken?	Sira ba itong mga kompyuter?
Are these dogs rabid?	Ulol ba yung mga aso na ito?
Are these tables broken?	Sira ba itong mga mesa?
Are they accompanying me?	Sinasamahan ba nila ako?
Are they accompanying me?	Sila ba ay sinasamahan ako?
Are they accompanying you?	Sinasamahan ka ba nila?
Are they also already done?	Tapos na rin ba sila?
Are they also already finished?	Tapos na rin ba sila?
Are they arriving today?	Darating ba sila ngayong araw?
Are they arriving tomorrow?	Darating ba sila bukas?
Are they arriving tonight?	Darating ba sila ngayong gabi?
Are they coming here tomorrow?	pupunta ba sila bukas?
Are they coming with me?	Sinasamahan ba nila ako?
Are they coming with me?	Sila ba ay sinasamahan ako?
Are they coming with you?	Sinasamahan ka ba nila?
Are they going with me?	Sinasamahan ba nila ako?
Are they going with me?	Sila ba ay sinasamahan ako?
Are they going with you?	Sinasamahan ka ba nila?
Are they joining me?	Sila ba ay sinasamahan ako?
Are they leaving next year?	Aalis ba sila sa susunod na taon?
Are they leaving today?	Aalis ba sila ngayong araw?
Are they leaving tonight?	Aalis ba sila ngayong gabi?
Are they open on Sunday?	Bukas ba sila sa susunod na Linggo?
Are they really going to wait?	Talaga bang maghihintay sila?
Are they your relative?	Sila ba ay iyong kamag-anak?
Are those chairs broken?	Sira ba iyong mga silya?
Are those chairs broken?	Sira ba iyong mga upuan?
Are those computers broken?	Sira ba iyong mga kompyuter?
Are those dogs rabid?	Ulol ba yung mga aso na iyon?
Are those dogs rabid?	Ulol ba yung mga aso na iyan?
Are those tables broken?	Sira ba iyong mga mesa?
Are we doing the right thing?	Tama ba ang ginagawa natin?
Are you accompanying her?	Sinasamahan mo ba siya?
Are you accompanying him?	Sinasamahan mo ba siya?
Are you accompanying me?	Sinasamahan mo ba ako?
Are you accompanying them?	Sinasamahan mo ba sila?
Are you afraid of the dentist?	Takot ka ba sa dentista?
Are you all set for the trip?	Handa na ba kayo para sa biyahe?
Are you also already finished?	Tapos ka na rin ba?
Are you also here to study?	Nandito ka rin ba para mag-aral?
Are you an only child?	Ikaw ba ay nag-iisang anak?
Are you available on Sunday?	Libre ka ba ngayong Linggo?
Are you available on Sunday?	Pwede ka ba ngayong Linggo?
Are you available on Sunday?	Libre ka ba ngayong Linggo?
Are you available on Sunday?	Pwede ka ba ngayong Linggo?
Are you avoiding him/her?	Iniiwasan mo ba siya?
Are you booked for tomorrow?	nakalista ka na ba para bukas?
Are you bringing a mirror?	Nagdadala ka ng salamin?
Are you bringing a pair of glasses?	Nagdadala ka ng salamin?
Are you bringing your camera?	Dadalhin mo ba ang kamera mo?
Are you busy Friday night?	Abala ka ba sa Biyernes ng gabi?
are you buying apple?	bumibili ba kayo ng mansanas?
are you buying banana?	bumibili ba kayo ng saging?
are you buying black plum?	bumibili ba kayo ng duhat?
are you buying bottle gourd?	bumibili ba kayo ng upo?
are you buying cabbage?	bumibili ba kayo ng repolyo?
are you buying crab?	bumibili ba kayo ng alimango?
are you buying durian?	bumibili ba kayo ng duryan?
are you buying eggplant?	bumibili ba kayo ng talong?
are you buying garlic?	bumibili ba kayo ng bawang?
Are you buying ginger?	Bumibili ba kayo ng luya?
are you buying guava?	bumibili ba kayo ng bayabas?
are you buying jackfruit?	bumibili ba kayo ng langka?
are you buying kidney bean?	bumibili ba kayo ng patani?
are you buying lanzones?	bumibili ba kayo ng lanzones?
are you buying legumes?	bumibili ba kayo ng sitaw?
are you buying lima bean?	bumibili ba kayo ng bataw?
Are you buying luffa?	Bumibili ba kayo ng patola?
are you buying malay apple?	bumibili ba kayo ng makopa?
Are you buying mango?	Bumibili ba kayo ng mangga?
are you buying manila bean?	bumibili ba kayo ng sigarilyas?
Are you buying meat?	Bumibili ba kayo ng karne?
Are you buying melon?	Bumibili ba kayo ng melon?
are you buying milkfish?	bumibili ba kayo ng bangus?
are you buying mustard?	bumibili ba kayo ng mustasa?
are you buying octopus?	bumibili ba kayo ng pugita?
are you buying onion?	bumibili ba kayo ng sibuyas?
are you buying orange?	bumibili ba kayo ng dalanghita?
are you buying papaya?	bumibili ba kayo ng papaya?
are you buying pineapple?	bumibili ba kayo ng pinya?
Are you buying pork?	Bumibili ba kayo ng baboy?
are you buying radish?	bumibili ba kayo ng labanos?
are you buying rambutan?	bumibili ba kayo ng rambutan?
are you buying sardines?	bumibili ba kayo ng sardinas?
Are you buying sesame?	Bumibili ba kayo ng linga?
Are you buying shark?	Bumibili ba kayo ng pating?
Are you buying shrimp?	Bumibili ba kayo ng hipon?
are you buying soursoup?	bumibili ba kayo ng guyabano?
are you buying squash?	bumibili ba kayo ng kalabasa?
Are you buying squid?	Bumibili ba kayo ng pusit?
are you buying starfruit?	bumibili ba kayo ng balimbing?
are you buying strawberry?	bumibili ba kayo ng presa?
are you buying sugar apple?	bumibili ba kayo ng atis?
are you buying tamarind?	bumibili ba kayo ng sampalok?
are you buying tomato?	bumibili ba kayo ng kamatis ?
are you buying turnip?	bumibili ba kayo ng singkamas?
are you buying wax gourd?	bumibili ba kayo ng kundol?
are you buying whale shark?	bumibili ba kayo ng butanding?
Are you buying worm?	Bumibili ba kayo ng bulate?
Are you coming back tomorrow?	babalik ka ba dito bukas?
Are you coming this evening?	Dadating ka ba ngayong gabi?
Are you coming with her?	Sinasamahan mo ba siya?
Are you coming with him?	Sinasamahan mo ba siya?
Are you coming with them?	Sinasamahan mo ba sila?
Are you doing anything today?	May gagawin ka ba ngayong araw?
Are you enjoying the holidays?	masaya ka ba sa iyong bakasyon?
Are you feeling fine now?	Maginhawa na ba ang pakiramdam mo?
Are you fond of reading?	Mahilig ka bang magbasa?
Are you free next Friday?	Libre ka ba sa susunod na Biyernes?
Are you free next Monday?	Libre ka ba sa susunod na Lunes?
Are you free next month?	Libre ka ba sa susunod na buwan?
Are you free next Saturday?	Libre ka ba sa susunod na Sabado?
Are you free next Sunday?	Libre ka ba sa susunod na Linggo?
Are you free next Thursday?	Libre ka ba sa susunod na Huwebes?
Are you free next Tuesday?	Libre ka ba sa susunod na Martes?
Are you free next week?	Libre ka ba sa susunod na linggo?
Are you free next week?	Pwede ka ba sa susunod na linggo?
Are you free next year?	Libre ka ba sa susunod na taon?
Are you free this evening?	Libre ka ba ngayong gabi?
Are you free this weekend?	Libre ka ba nitong wik-end?
Are you free tomorrow afternoon?	Libre ka ba bukas ng hapon?
Are you free tomorrow evening?	Libre ka ba bukas?
Are you free tonight?	Libre ka ba mamayang gabi?
Are you free tonight?	Bakante ka ba mamayang gabi?
Are you going out later?	May lakad ka ba mamaya?
Are you going through something?	Mag pinagdadaanan ka ba?
Are you going to come tomorrow?	makakapunta ka ba bukas?
Are you going to eat lunch?	Kakain ka ba ng tanghalian?
Are you going to help her?	Tutulungan mo ba siya?
Are you going to take my call?	Sasagutin mo ba ang tawag ko?
Are you going to think of something?	May iisipin ka ba?
Are you going with her?	Sinasamahan mo ba siya?
Are you going with him?	Sinasamahan mo ba siya?
Are you going with them?	Sinasamahan mo ba sila?
Are you here to study?	Nandito ka ba para mag-aral?
Are you jealous with her?	Nagseselos ka ba sa kanya?
Are you listening to the radio?	Nakikinig ka ba sa radyo?
Are you looking for something?	May hinahanap po ba kayo?
Are you not going there?	Hindi ka ba doon pupunta?
Are you playing with me?	Pinaglalaruan mo ba ako?
Are you playing with someone?	May kalaro ka ba?
Are you referring to me?	Ako ba ang tinutukoy mo?
Are you satisfied now?	napapalagay ka na ba ngayon?
are you selling apple?	nagbebenta ba kayo ng mansanas?
are you selling banana?	nagbebenta ba kayo ng saging?
are you selling black plum?	nagbebenta ba kayo ng duhat?
are you selling bottle gourd?	nagbebenta ba kayo ng upo?
are you selling cabbage?	nagbebenta ba kayo ng repolyo?
are you selling crab?	nagbebenta ba kayo ng alimango?
Are you selling drug?	Nagbibinta ka ba ng droga?
are you selling durian?	nagbebenta ba kayo ng duryan?
are you selling eggplant?	nagbebenta ba kayo ng talong?
Are you selling fish?	Nagbebenta ba kayo ng isda?
are you selling garlic?	nagbebenta ba kayo ng bawang?
are you selling ginger?	nagbebenta ba kayo ng luya?
are you selling guava?	nagbebenta ba kayo ng bayabas?
are you selling jackfruit?	nagbebenta ba kayo ng langka?
are you selling kidney bean?	nagbebenta ba kayo ng patani?
are you selling lanzones?	nagbebenta ba kayo ng lanzones?
are you selling legumes?	nagbebenta ba kayo ng sitaw?
are you selling lima bean?	nagbebenta ba kayo ng bataw?
are you selling luffa?	nagbebenta ba kayo ng patola?
are you selling malay apple?	nagbebenta ba kayo ng makopa?
are you selling mango?	nagbebenta ba kayo ng mangga?
are you selling meat?	nagbebenta ba kayo ng karne?
are you selling melon?	nagbebenta ba kayo ng melon?
are you selling milkfish?	nagbebenta ba kayo ng bangus?
are you selling mustard?	nagbebenta ba kayo ng mustasa?
Are you selling nuts?	Nagbebenta ba kayo ng mani?
are you selling octopus?	nagbebenta ba kayo ng pugita?
are you selling onion?	nagbebenta ba kayo ng sibuyas?
are you selling orange?	nagbebenta ba kayo ng dalanghita?
are you selling papaya?	nagbebenta ba kayo ng papaya?
are you selling pineapple?	nagbebenta ba kayo ng pinya?
are you selling pork?	nagbebenta ba kayo ng baboy?
are you selling radish?	nagbebenta ba kayo ng labanos?
are you selling rambutan?	nagbebenta ba kayo ng rambutan?
are you selling sardines?	nagbebenta ba kayo ng sardinas?
are you selling sesame?	nagbebenta ba kayo ng linga?
are you selling shark?	nagbebenta ba kayo ng pating?
are you selling shrimp?	nagbebenta ba kayo ng hipon?
are you selling soursoup?	nagbebenta ba kayo ng guyabano?
are you selling squash?	nagbebenta ba kayo ng kalabasa?
are you selling squid?	nagbebenta ba kayo ng pusit?
